iter	MultiClass
156	0.8483479082
157	0.8482627383
158	0.8481545837
159	0.8479809489
160	0.8477953361
161	0.8476708014
162	0.8476374666
163	0.8474827607
164	0.8473005817
165	0.8472651847
166	0.8470505315
167	0.8468977448
168	0.8465746238
169	0.8465219906
170	0.8463921583
171	0.8462812937
172	0.8460275053
173	0.8459203162
174	0.8458392667
175	0.8455660432
176	0.8454670755
177	0.8454104455
178	0.8450712635
179	0.8450341699
180	0.8449098751
181	0.8447510814
182	0.8446035497
183	0.84439919
184	0.8443589539
185	0.8441478745
186	0.8440363291
187	0.8437731526
188	0.8435753551
189	0.8433957445
190	0.8433047567
191	0.8432562642
192	0.8431494573
193	0.8430221654
194	0.8428731634
195	0.8427274356
196	0.8426421593
197	0.8425874128
198	0.8424499473
199	0.8422008935
200	0.842073431
201	0.8419279306
202	0.8418000393
203	0.8416171078
204	0.8415163321
205	0.8413590414
206	0.8412203185
207	0.8411664714
208	0.8411065514
209	0.8410032424
210	0.8409725126
211	0.8408716419
212	0.8408036121
213	0.8407253892
214	0.8405687509
215	0.8405424439
216	0.8404420648
217	0.8403289673
218	0.8402013186
219	0.8401474772
220	0.839926574
221	0.8398593419
222	0.8396586693
223	0.8395852151
224	0.8395226436
225	0.8394161525
226	0.839331937
227	0.8392573139
228	0.839223396
229	0.8391068339
230	0.8389680245
231	0.8387980075
232	0.8387510279
233	0.8386987741
234	0.838670512
235	0.8385799536
236	0.8385137599
237	0.8383630343
238	0.8382465985
239	0.8380912211
240	0.8380173288
241	0.837853578
242	0.8377407909
243	0.8376960527
244	0.8376386576
245	0.8376137483
246	0.8375541853
247	0.8374896548
248	0.8374542516
249	0.8372877127
250	0.8371574927
251	0.8370655156
252	0.8369533404
253	0.8369163538
254	0.8368601113
255	0.8367550941
256	0.8367137137
257	0.836678499
258	0.8365942078
259	0.8363983253
260	0.8363078852
261	0.8362691732
262	0.8361768862
263	0.8360633123
264	0.8360263127
265	0.8359223391
266	0.8358319957
267	0.8357290412
268	0.8356347653
269	0.8355879123
270	0.8355116558
271	0.8353937985
272	0.8353395651
273	0.8353077239
274	0.8352234279
275	0.8351378868
276	0.8350924568
277	0.8350471806
278	0.8349312912
279	0.834841071
280	0.8347143242
281	0.8345493728
282	0.8344807312
283	0.8344270281
284	0.8344051944
285	0.8343292063
286	0.8342928463
287	0.8341601827
288	0.8341263527
289	0.8341100541
290	0.8340517953
291	0.8339624767
292	0.8338954945
293	0.8338304957
294	0.8337927333
295	0.8337490032
296	0.8336778534
297	0.8336428657
298	0.8335673902
299	0.8335309293
300	0.8333930273
301	0.8333454795
302	0.8332897659
303	0.8332246198
304	0.8331419555
305	0.833098613
306	0.8330712987
307	0.8330216539
308	0.8329339611
309	0.8328594751
310	0.832764519
311	0.8326687979
312	0.8325936579
313	0.8325321408
314	0.8324552219
315	0.8323700068
316	0.832204212
317	0.8321751077
318	0.83215576
319	0.8321100796
320	0.8320667642
321	0.8320075059
322	0.8319350894
323	0.8318750451
324	0.8318196973
325	0.8317813898
326	0.8317504701
327	0.831689877
328	0.8316493663
329	0.8315956605
330	0.8315270121
331	0.8314997261
332	0.8314722988
333	0.8314115973
334	0.8313760852
335	0.8313547983
336	0.8312707086
337	0.8312120587
338	0.8311719286
339	0.8311542933
340	0.8310955337
341	0.83106903
342	0.831030051
343	0.8309715491
344	0.8308945939
345	0.8308524615
346	0.8308032278
347	0.8306855365
348	0.8306118606
349	0.8305784304
350	0.8305002031
351	0.830416911
352	0.8303184989
353	0.8302477806
354	0.8302189353
355	0.8301688898
356	0.8301141193
357	0.8300253938
358	0.8299820865
359	0.8299594207
360	0.8299294345
361	0.8297728008
362	0.8297206562
363	0.829695014
364	0.8296705537
365	0.8296386657
366	0.8296204466
367	0.8295940017
368	0.8295206358
369	0.8294734376
370	0.8293749015
371	0.8293208952
372	0.8292564627
373	0.829209326
374	0.8291497837
375	0.8290956424
376	0.8290314113
377	0.8290158615
378	0.8289819294
379	0.8288796679
380	0.8288616883
381	0.8288046494
382	0.8287612041
383	0.8287415022
384	0.8286967069
385	0.8285298985
386	0.8285015575
387	0.8284832111
388	0.8284383995
389	0.8284080401
390	0.8283932127
391	0.8283775484
392	0.8283028591
393	0.8282658779
394	0.8281962384
395	0.8281356417
396	0.8281218913
397	0.8281079299
398	0.828046249
399	0.8279911189
400	0.8279386672
401	0.8278676164
402	0.8278110813
403	0.8277697407
404	0.8277459386
405	0.8277263019
406	0.8277077589
407	0.8276615219
408	0.8276280572
409	0.8275702165
410	0.8275519452
411	0.8275412604
412	0.8275271375
413	0.8274917948
414	0.8274090215
415	0.8273742968
416	0.8273461313
417	0.8272631081
418	0.8272422355
419	0.8272134412
420	0.8271606545
421	0.8271231182
422	0.8270933475
423	0.8270676515
424	0.8270203179
425	0.8269702439
426	0.826894154
427	0.8268822985
428	0.8268502089
429	0.8268255885
430	0.8267949537
431	0.8267689101
432	0.8267100605
433	0.8266380011
434	0.8266154886
435	0.8265982923
436	0.8265636083
437	0.826530766
438	0.8265103724
439	0.8264992727
440	0.8264424938
441	0.8264146293
442	0.826368762
443	0.8263244974
444	0.8262501017
445	0.8261992005
446	0.8261572888
447	0.8261362808
448	0.8261198743
449	0.8260763268
450	0.826038742
451	0.825996856
452	0.8259673065
453	0.8259229373
454	0.8258918725
455	0.8258570436
456	0.8257482432
457	0.8257214704
458	0.8256851946
459	0.8256706389
460	0.82566579
461	0.8256181081
462	0.8255695207
463	0.8255326248
464	0.8254940767
465	0.8254436188
466	0.8254025346
467	0.8253439152
468	0.825305135
469	0.8252945992
470	0.8252751168
471	0.825237725
472	0.825218757
473	0.8252060468
474	0.8251559068
475	0.825132782
476	0.8251194603
477	0.8250887323
478	0.8250617673
479	0.8250354868
480	0.824986108
481	0.8249283242
482	0.8248978731
483	0.824860034
484	0.8248442768
485	0.8248047919
486	0.8247865329
487	0.8247682995
488	0.8247334606
489	0.8246943828
490	0.8246426733
491	0.8246263201
492	0.8245922741
493	0.8245596432
494	0.8245414442
495	0.8245282124
496	0.8244995276
497	0.8244775717
498	0.824467088
499	0.8244419446
500	0.8244173822
501	0.8243898421
502	0.8243553647
503	0.8243274419
504	0.8242944379
505	0.8242639592
506	0.8242493394
507	0.8242373184
508	0.8242130915
509	0.824198628
510	0.8241664509
511	0.8241347392
512	0.8241144077
513	0.8240796716
514	0.8240509549
515	0.8240340771
516	0.8239956116
517	0.8239767444
518	0.8239457389
519	0.8239276682
520	0.8238742609
521	0.8238018008
522	0.8237652931
523	0.8237488892
524	0.8237354367
525	0.8236997535
526	0.8236849113
527	0.8236437815
528	0.8236297732
529	0.8236121621
530	0.8235892957
531	0.8235604068
532	0.8235161679
533	0.823496971
534	0.8234452501
535	0.8234349943
536	0.8233790838
537	0.8233564911
538	0.8233437247
539	0.8233322038
540	0.8232947701
541	0.8232856614
542	0.8232613463
543	0.8232391249
544	0.8232045422
545	0.8231903205
546	0.8231750616
547	0.8231485632
548	0.8231355352
549	0.823107714
550	0.8230928153
551	0.8230649215
552	0.8230490944
553	0.8230356197
554	0.8230056887
555	0.8229894199
556	0.8229812387
557	0.8229542571
558	0.822942992
559	0.8229385964
560	0.8229241865
561	0.822894641
562	0.8228819841
563	0.8228657465
564	0.8228546317
565	0.8228332105
566	0.8228175503
567	0.8227898837
568	0.8227602712
569	0.8227305721
570	0.8227061634
571	0.8226291158
572	0.8226154193
573	0.8226084683
574	0.8225943961
575	0.8225632781
576	0.822546825
577	0.8225170863
578	0.8225078261
579	0.8224874243
580	0.8224777773
581	0.8223783687
582	0.8223596457
583	0.8223505265
584	0.8223393481
585	0.8223060224
586	0.8222901621
587	0.8222757011
588	0.8222603171
589	0.8222317125
590	0.8222048745
591	0.822185535
592	0.8221584142
593	0.8221404301
594	0.822129835
595	0.8221093096
596	0.8220524646
597	0.8220402087
598	0.8220336743
599	0.8220203143
600	0.8219926747
601	0.8219831841
602	0.8219682391
603	0.8219404722
604	0.8219215127
605	0.8219003997
606	0.8218931272
607	0.8218493913
608	0.8218154712
609	0.8217808336
610	0.8217573378
611	0.8217369125
612	0.8217218746
613	0.8216840451
614	0.8216671378
615	0.8216532021
616	0.8215831217
617	0.8215688063
618	0.8215543585
619	0.8215375419
620	0.8215155381
621	0.8214779013
622	0.8214413492
623	0.8214243648
624	0.8214116998
625	0.8213926791
626	0.8213579089
627	0.8213251186
628	0.8212916607
629	0.8212772021
630	0.8212572383
631	0.821248177
632	0.8212296805
633	0.8210872512
634	0.8210551232
635	0.8210425628
636	0.8210310139
637	0.8210192807
638	0.8210116719
639	0.8209981145
640	0.820993241
641	0.8209794924
642	0.8209556494
643	0.8209379459
644	0.8209290325
645	0.8209063653
646	0.8208946482
647	0.8208438267
648	0.8208212787
649	0.8208177979
650	0.8207901921
651	0.8207712843
652	0.8207555711
653	0.8207405689
654	0.8207131854
655	0.8206986228
656	0.8206847434
657	0.8206692931
658	0.8206547173
659	0.8206443955
660	0.8206242602
661	0.820615481
662	0.8205892042
663	0.8205759584
664	0.8205444553
665	0.8205348819
666	0.8205154214
667	0.8205120839
668	0.8204998901
669	0.8204743813
670	0.8204503353
671	0.8204183414
672	0.820400898
673	0.8203905947
674	0.8203794886
675	0.8203462279
676	0.8202934847
677	0.8202746517
678	0.8201834551
679	0.8201695773
680	0.8201507818
681	0.820123547
682	0.8201120915
683	0.820097825
684	0.8200569831
685	0.8200092172
686	0.8199378406
687	0.8199330485
688	0.8199200299
689	0.8198870018
690	0.8198699305
691	0.8198597374
692	0.8198233463
693	0.8198073085
694	0.8197847034
695	0.8197306659
696	0.819722589
697	0.8197052958
698	0.819692101
699	0.8196856075
700	0.8196554315
701	0.8196413368
702	0.8196342826
703	0.8196223271
704	0.8196025693
705	0.8195779848
706	0.8195325597
707	0.8195170107
708	0.8195041143
709	0.8194861546
710	0.8194739747
711	0.8194450589
712	0.8194185828
713	0.8194072024
714	0.8193903655
715	0.8193565803
716	0.8193443813
717	0.8193252349
718	0.8193015907
719	0.8192917073
720	0.81923437
721	0.8192123344
722	0.8192087691
723	0.8191873523
724	0.8191691782
725	0.8191178537
726	0.8190948345
727	0.8190749541
728	0.8190675218
729	0.8190452209
730	0.8190356454
731	0.8190199363
732	0.8189923906
733	0.8189775983
734	0.8189557901
735	0.8189522975
736	0.8188717042
737	0.8188622635
738	0.8188145194
739	0.8188094937
740	0.8187997496
741	0.8187928286
742	0.8187715853
743	0.818761806
744	0.8187534361
745	0.8187428347
746	0.818732478
747	0.8187204972
748	0.8186856338
749	0.8186660271
